TranscriptID	ncRNAName	Species	Accession	SeqID
232	HAR1B	Homo sapiens	DQ860410.1	192
234	Adapt33	Cricetulus griseus;Mus musculus;Mus musculus	U29660.1;BX516247.1,AK017316.1;AK034784.1	195;196;197
236	PWR1	Saccharomyces cerevisiae	Z38061.1	199
237	Dlx1as	Mus musculus	AK132348.1	200
238	npc536	Arabidopsis thaliana	BX818431.1	201
239	npc48	Arabidopsis thaliana	AY090965.1	202
241	Jpx	Homo sapiens;Mus musculus	BP871721.1,BC071776.1,AL139400.9,BC071776.1,AL627389.4,BC071776.1;AK137473.1	204;205
242	lincRNA-RoR	Homo sapiens	HQ315778.1	206
243	Dio3os	Mus musculus;Homo sapiens;Homo sapiens	AL591207.15,AL591207.15,AL591207.15,AL591207.15; AF469202.1; BC111049	207;208;209
254	AK082072	Mus musculus;Homo sapiens;Homo sapiens	AK082072.1;null;null	221;222;223
255	Rmst	Mus musculus	BB621570.1,AK086758.1,AK086758.1	224
256	linc1242	Mus musculus;Mus musculus	null;null	225;226
257	linc1368	Mus musculus;Mus musculus;Mus musculus	null;null;null;	227;228;229
258	linc1609	Mus musculus;Mus musculus	AK160141.1;null	230;231
259	linc1610	Mus musculus;Mus musculus;Mus musculus	null;null;null;	232;233;234
260	linc1582	Mus musculus;Mus musculus	AK137304.1;null	235;236
261	linc1547	Mus musculus	null	237
262	CDR1 AS	Homo sapiens;Mus musculus	AL078639;BX322656	238;239
263	linc1257	Mus musculus;Mus musculus	AK160548.1;AK032971.1	241;240
264	BX118339	Homo sapiens	BX118339	242
266	Mistral	Mus musculus	JN565285.1	246
267	PANDA	Homo sapiens	JF803844.1	247
270	cyrano	Danio rerio	JQ681267.1	250
271	megamind	Danio rerio;Danio rerio;Homo sapiens;Homo sapiens;Mus musculus	JQ681268;null;BX093813.1;DA412350.1,AK091547.1,AK023027.1,BC016484.1;AC122013.4,BC059025.1	257;253;254;255;256
272	COLDAIR	Arabidopsis thaliana	AY303835	258
273	LINC00568	Homo sapiens	ENST00000416894	259
274	KDM5B-AS1	Homo sapiens;Homo sapiens;Homo sapiens	ENST00000553157.1;ENST00000425295.1;ENST00000417262.1 	260;261;262
276	PDZK1IP1-AS1	Homo sapiens	AL135960.1,AI792909.1,AL135960.1,AI651041.1	264
277	LINC00570	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	ENST00000417473.2;ENST00000437795.1;ENST00000453100.1;ENST00000432665.1 	265;266;267;268
278	LOC100887755	Homo sapiens	AL121712.27,BX118093.1,AI968488.1	269
279	linc-MD1	Mus musculus	JN699052	270
281	PTENP1 asRNAs	Homo sapiens	BX374997.2	272
