transcriptID;ncRNAName;AccessionID2;Description;PubMedID
173;"PR antisense transcripts";"Argonaute proteins";"agRNAs cause recruitment of argonaute protein(s) to the antisense RNA";18604220
173;"PR antisense transcripts";hnRNP-k;"Heterogeneous nuclear ribonucleoprotein-k (hnRNP-k) dissociates from the PR promoter and associates with antisense RNAs upon addition of agRNAs. ";18604220
173;"PR antisense transcripts";"HP1 gamma";"Heterochromatin protein 1 (HP1) can associate with PR antisense transcripts.";18604220
174;SRG1;SER3;"SRG1 transcripts cover either the beginning of, or the whole SER3 gene in the sense direction";15175754
175;HOTTIP;HOXA13;"At least in humans HOXA13as is from bidirectional promoter with HOXA13";17445766
175;HOTTIP;HOXA13;"HOTTIP is expressed from a bidirectional promoter with HOXA13 (at least in human).";17445766
175;HOTTIP;WDR5;"HOTTIP binds to WDR5, a component of the MLL/ Trithorax chromatin modifying complexes.";21423168
176;HOXA3as;HOXA3;"HOXA3as overlaps introns and exons of HOXA3 transcript variant 2 in the antisense direction in human.";17185360
176;HOXA3as;HOXA4;"HOXA3as isoforms have the potential to overlap the 3' of HOXA4 in the antisense direction in human.";17185360
177;HOXA6as;HOXA6;"HOXA6as transcript AK091933 overlaps the first exon and intron of HOXA6 in antisense direction, likely due to transcription from a bi-directional promoter.";17445766
177;HOXA6as;HOXA7;"HOXA6as transcript AK091933 overlaps the 3'UTR of HOXA7 in the antisense direction.";17445766
178;Otx2os1;Otx2;"Otx2os transcripts found in head to head arrangement with Otx2 transcription factor gene.";15703187
180;Hoxd3as;Hoxd3;"Hoxd3as overlaps part of Hoxd3 in antisense direction.";7710686
183;HULC;miR-372;"HULC binds and inhibits activity of miR-372";20423907
184;snaR;NF90/ILF3;"The nuclear factor 90 (NF90/ILF3, also known as DRBP76 and NFAR1) protein associate in vivo with snaR transcripts.";17855395
185;COOLAIR;FLC;"Flowering locus C (FLC) is an important regulator of flowering time. Known to be repressed by prolonged cold (vernalization) epigenetically by the PHD-PRC2 complex";20010688
187;PTENP1;miR-19b;"miR-19b and miR-20a can target PTEN and PTEN1P";20577206
187;PTENP1;miR-20a;"miR-19b and miR-20a can target PTEN and PTEN1P";20577206
188;UM9-5;KCNIP4;"UM9-5 found in an KCNIP4 intron in the sense direction ";12515386
189;"TEA ncRNAs";Tcra;NULL;NULL
189;"TEA ncRNAs";"T-cell receptor alpha chain (TCRA)";"Transcript come from the joining (J) gene segments of TCRA and overlap multiple segments of the J array ending in the C alpha region.";3500476
190;7SK;"7SK snRNP";"7SK RNA is part of a snRNAP complex composed of several proteins such as Hexim1, Larp7/Pip7S, and the P-TEFb subunits CycT1 and Cdk9";1646389
191;"Maternal RNA templates";Transposases;"Several Oxytricha transposases: telomere-bearing elements (TBEs) are required for correct DNA rearrangement. Hence it is predicted that TBE1, TBE2 and TBE3 will be associated in some way with the maternal RNA templates that are also required for this process.";19372392
193;"psvA antisense RNA";psvA;NULL;NULL
194;"frq antisense RNAs";"frequency (frq)";"frq antisense RNAs overlap frq gene locus";12607002
195;"Maternal somatic nucleus RNAs";"Scan RNAs";"ScnRNAs signal sequences to be deleted while maternal RNAs signal sequences to be maintained. Hypothesised that maternal somatic RNAs deplete homologous germline scnRNAs, preventing excision of these sequences in progeny somatic nuclei.";19103667
196;L1PA16;PSF;"L1PA16 binds PSF and inhibits DNA binding function";19625619
196;L1PA16;GAGE6;"L1PA16 found to modulate PSF binding to regulatory sequence of GAGE6 gene";19625619
197;MER11C;PSF;"Mer11C binds PSF and inhibits DNA binding function";19625619
197;MER11C;GAGE6;"Mer11C found to modulate PSF binding to regulatory sequence of GAGE6 gene";19625619
198;"PSF inhibiting RNA";PSF;"RNA bound PSF and inhibited PSF DNA binding function";19625619
198;"PSF inhibiting RNA";GAGE6;"RNA found to modulate PSF binding to regulatory sequence of GAGE6 gene";19625619
199;LINoCR;Lysozyme;"LINoCR is transcribed antisense to the Lysozyme regulatory region.";18851839
200;"B2 SINE RNA";"RNA polymerase II";"B2 binds RNA polymerase II core protein complex and inhibits transcription";15300239
201;DISC2;DISC1;"DISC2 is transcribed within, and antisense to, DISC1";10814723
203;DLG2AS;DLG2;"DLG2: discs, large homolog 2 (Drosophila). Member of the membrane-associated guanylate kinase (MAGUK) family (from NCBI Gene).";13130513
204;ST7OT;RAY1/ST7;"Various noncoding transcripts overlap RAY1/ST7 exons and intron in the sense and antisense direction.";12213198
206;IGF2AS;Igf2;"Igf2as is antisense to some isoforms of Igf2.";10731720
208;"Prion-associated RNAs";PrP;NULL;NULL
209;"fbp1+ promoter RNAs";fbp1+;"lncRNAs expressed from fbp1+ promoter and overlap part of fbp1+ coding sequence. ";18820678
210;"PHO5 lncRNA";PHO5;"PHO5 lncRNA transcribed across the PHO5 gene and PHO5 promoter";17470801
211;"PHO84 antisense";PHO84;"Gene for an inorganic phosphate transporter";18022365
211;"PHO84 antisense";Rrp6;"Component of the exosome";18022365
211;"PHO84 antisense";Hda1;"Component of Hda1, Hda2, Hda3 complex";18022365
211;"PHO84 antisense";Hda2;"Component of Hda1, Hda2, Hda3 complex";18022365
211;"PHO84 antisense";Hda3;"Component of Hda1, Hda2, Hda3 complex";18022365
213;meiRNA;mei2;"meiRNA interacts with mei2 RNA-binding protein, essential for the initiation of premeiotic DNA synthesis and meiosis.";7520368
214;lincRNA-p21;hnRNP-K;"lincRNA-p21 binds hnRNP-k through an element near the 5' of the RNA. hnRNP-k involved in lncRNA-p21 mediated gene repression.";20673990
215;At4;miR-399;"At4 predicted to mimic miR-399 targets, sequestering miR-399 and attenuating its effects.";17643101
222;Mrhl;Phkb;"Recombination hot spot RNA is transcribed from a Phkb intron";15169920
223;"Beta 2.7 RNA";GRIM–19;"GRIM-19 is a subunit of complex I of the mitochondrial respiratory chain and is stabilized by Beta2.7 RNA by direct physical interaction.";17540903
228;"CAR Intergenic 10";FANK1;"FANK1 is located on the 3'-side of CAR Intergenic10.";20404130
228;"CAR Intergenic 10";ADAM12;"ADAM12 is located on the 5' side of CAR Intergenic 10 with an overlap of a few hundred base pairs.";20404130
229;21A;CENP-F;"21AS has complementarity to CENP-F introns, and over-expression of 21AS in vitro decreased levels of CENP-F mRNA and protein.";17274687
232;HAR1B;HAR1A;"HAR1B overlaps part of the first exon of HAR1A in the antisense direction.";16915236
233;Sox2ot;SOX2;"Single-exon SOX2 gene is located within SOX2OT intron in vertebrates.";12612584
234;Adapt33;RING1B;"Interacts with protein(s) of the Polycomb Repressive Complex 1. Interacts with E3 ubiquitin-protein ligase RING2 (RING1B) either directly or through the PRC1 complex.";21874018
234;Adapt33;PRC2;"Interacts with protein(s) of the Polycomb Repressive Complex 2";21874018
234;Adapt33;JARID1B;"Interacts with Lysine-specific demethylase 5B (JARID1B) either directly or in a complex. ";21874018
234;Adapt33;ESET;"Iinteracts with Histone-lysine N-methyltransferase SETDB1 (ESET) either directly or in a complex.";21874018
234;Adapt33;SUV39H1;"Interacts with Histone-lysine N-methyltransferase SUV39H1 either directly or in a complex. ";21874018
234;Adapt33;SETD8;"Interacts with N-lysine methyltransferase SETD8 either directly or in a complex. ";21874018
234;Adapt33;CBX1;"Interacts with Chromobox protein homolog 1 (CBX1) either directly or in a complex.";21874018
235;ICR1;FLO11;"ICR1 is transcribed by upstream of FLO11 in sense direction towards FLO11 and covers FLO11 promoter. ICR1 silences FLO11 in cis likely by promoter blocking.";19805129
235;ICR1;PWR1;"PWR1 is transcribed antisense to ICR1 and silences ICR1 in cis, most likely by promoter blocking.";19805129
235;ICR1;PWR1;"PWR1 silences ICR1 in cis, most likely by promoter blocking.";19805129
236;PWR1;ICR1;"PWR1 is antisense to ICR1 and when expressed can silence ICR1 transcription in cis, likely by promoter blocking.";19805129
236;PWR1;FLO11;"Expression of PWR1 from FLO11 upstream regulatory region allows expression of FLO11 by silencing the FLO11 silencer ICR1.";19805129
237;Dlx1as;Dlx1;"Dlx1as overlaps exons and introns of Dlx1 in the antisense direction";8812481
238;npc536;AT1G67930;"npc536 is antisense to AT1G67930, which encodes a Golgi-transport complex related protein.";8997003
243;Dio3os;Dio3;"Some Dio3os transcripts overlap with Dio3 in an antisense orientation.";14962667
246;RTL;"TY1 retrotransposon";"RTL is transcribed antisense to a TY1 retrotransposon";18316478
246;RTL;Xrn1;"RTL is degraded by a cytoplasmic 5'-3' RNA decay pathway containing Xrn1, Dcp1 and Dcp2.";18316478
247;GAL10-ncRNA;GAL10;"GAL10-ncRNA is transcribed across the GAL10 gene in the antisense direction";19061643
247;GAL10-ncRNA;GAL1;"GAL10-ncRNA is transcribed across the GAL1 gene in the sense direction";19061643
248;Zfas1;Znfx1;"5' of Zfas1 overlaps 5' of Znfx1 (zinc finger, NFX1-type containing 1) in an antisense orientation.";21460236
249;Gtl2-as;PRC2;"Transcript that runs antisense to Gtl2/Meg3 identified as binding to the PRC2 chromatin modifying complex.";21172659
250;Malat1-as;PRC2;"Malat1 antisense binds to the PRC2 chromatin modification complex";21172659
251;TIR1axut;TIR1;"TIR1axut 3' end overlaps TIR1 protein coding gene in antisense direction";21697827
252;TPO1axut;TPO1;"TPO1axut 3' overlaps TIR1 protein coding gene in antisense direction";21697827
256;linc1242;Nanog;"linc1242 required for normal expression of Nanog in mESCs";21874018
256;linc1242;Oct4;"linc1242 required for normal expression of Oct4/Pou5f1 in mESCs";21874018
257;linc1368;Nanog;"linc1368 required for normal expression of Nanog in mESCs";21874018
257;linc1368;Oct4;"linc1368 required for normal expression of Oct4 in mESCs";21874018
257;linc1368;Sox2;"linc1368 required for normal expression of Sox2 in mESCs";21874018
257;linc1368;Klf4;"linc1368 required for normal expression of Klf4 in mESCs";21874018
257;linc1368;Zfp42;"linc1368 required for normal expression of Zfp42 in mESCs";21874018
258;linc1609;Nanog;"linc1609 required for normal expression of Nanog in mESCs";21874018
258;linc1609;Oct4;"linc1609 required for normal expression of Oct4/Pou5f1 in mESCs";21874018
258;linc1609;Sox2;"linc1609 required for normal expression of Sox2 in mESCs";21874018
258;linc1609;Klf4;"linc1609 required for normal expression of Klf4 in mESCs";21874018
258;linc1609;Zfp42;"linc1609 required for normal expression of Zfp42 in mESCs";21874018
258;linc1609;JARID1C;"Interacts with Lysine-specific demethylase 5C (JARID1C) either directly or in a complex.";21874018
258;linc1609;ESET;"Interacts with Histone-lysine N-methyltransferase SETDB1 (ESET) either directly or in a complex.";21874018
259;linc1610;Nanog;"linc1610 required for normal expression of Nanog in mESCs";21874018
259;linc1610;Oct4;"linc1610 required for normal expression of Oct4 in mESCs";21874018
259;linc1610;Sox2;"linc1610 required for normal expression of Sox2 in mESCs";21874018
259;linc1610;Klf4;"linc1610 required for normal expression of Klf4 in mESCs";21874018
259;linc1610;Zfp42;"linc1610 required for normal expression of Zfp42 in mESCs";21874018
259;linc1610;PRC2;"Interacts with protein(s) of the Polycomb Repressive Complex 2";21874018
259;linc1610;RING1B;"Interacts with protein(s) of the Polycomb Repressive Complex 1. Interacts with E3 ubiquitin-protein ligase RING2 (RING1B) either directly or through the PRC1 complex.";21874018
259;linc1610;JARID1C;"Interacts with Lysine-specific demethylase 5C (JARID1C) either directly or in a complex.";21874018
260;linc1582;Nanog;"linc1582 required for normal expression of Nanog in mESCs";21874018
260;linc1582;Oct4;"linc1582 required for normal expression of Oct4 in mESCs";21874018
260;linc1582;Sox2;"linc1582 required for normal expression of Sox2 in mESCs";21874018
260;linc1582;Klf4;"linc1582 required for normal expression of Klf4 in mESCs";21874018
260;linc1582;Zfp42;"linc1582 required for normal expression of Zfp42 in mESCs";21874018
261;linc1547;Nanog;"linc1547 required for normal expression of Nanog in mESCs";21874018
261;linc1547;Oct4;"linc1547 required for normal expression of Oct4 in mESCs";21874018
261;linc1547;Sox2;"linc1547 required for normal expression of Sox2 in mESCs";21874018
261;linc1547;Klf4;"linc1547 required for normal expression of Klf4 in mESCs";21874018
261;linc1547;Zfp42;"linc1547 required for normal expression of Zfp42 in mESCs";21874018
261;linc1547;SUV39H1;"Interacts with Histone-lysine N-methyltransferase SUV39H1 either directly or in a complex. ";21874018
261;linc1547;CBX3;"Interacts with Chromobox protein homolog 3 (CBX3) either directly or in a complex.";21874018
262;"CDR1 AS";miR-671;"miR-671 down-regulates the expression of CDR1 AS";21964070
262;"CDR1 AS";miR-7;"CDR1 AS binds and sequesters miR-7 which is unable to mediate degradation of CDR1 AS";23446346
262;"CDR1 AS";Ago2;"Through miR-7, CDR1 AS can bind and sequester Ago2";23446346
263;linc1257;PRC2;"Interacts with protein(s) of the Polycomb Repressive Complex 2";21874018
263;linc1257;RING1B;"Interacts with protein(s) of the Polycomb Repressive Complex 1. Interacts with E3 ubiquitin-protein ligase RING2 (RING1B) either directly or through the PRC1 complex.";21874018
