transcriptID;"concat(""<a href=http://www.ncbi.nlm.nih.gov/pubmed/"",pubmedID,"">"",pubmedID,""</a>"")";Author;Title;Year
105;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19716791>19716791</a>";Chen;"Altered nuclear retention of mRNAs containing inverted repeats in human embryonic stem cells: functional role of a nuclear noncoding RNA.";2009
105;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19217333>19217333</a>";Clemson;"An architectural role for a nuclear noncoding RNA: NEAT1 RNA is essential for the structure of paraspeckles.";2009
105;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19188602>19188602</a>";Sasaki;"MENepsilon/beta noncoding RNAs are essential for structural integrity of nuclear paraspeckles.";2009
105;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19106332>19106332</a>";Sunwoo;"MEN epsilon/beta nuclear-retained non-coding RNAs are up-regulated upon muscle differentiation and are essential components of paraspeckles.";2009
105;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16760401>16760401</a>";Saha;"Identification and characterization of a virus-inducible non-coding RNA in mouse brain.";2006
105;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/9253601>9253601</a>";Guru;"A transcript map for the 2.8-Mb region containing the multiple endocrine neoplasia type 1 locus.";1997
98;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19144990>19144990</a>";Zhang;"A myelopoiesis-associated regulatory intergenic noncoding RNA transcript within the human HOXA cluster.";2009
99;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16554823>16554823</a>";Shamovsky;"RNA-mediated response to heat shock in mammalian cells.";2006
105;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20211624>20211624</a>";Murthy;"Identification of protein interaction regions of VINC/NEAT1/Men epsilon RNA.";2010
100;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16678107>16678107</a>";Mayer;"Intergenic transcripts regulate the epigenetic state of rRNA genes.";2006
101;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15340049>15340049</a>";Thakur;"An antisense RNA regulates the bidirectional silencing property of the Kcnq1 imprinting control region.";2004
101;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18299392>18299392</a>";Mohammad;"Kcnq1ot1/Lit1 noncoding RNA mediates transcriptional silencing by targeting to the perinucleolar region.";2008
101;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18951091>18951091</a>";Pandey;"Kcnq1ot1 antisense noncoding RNA mediates lineage-specific transcriptional silencing through chromatin-level regulation.";2008
101;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18848501>18848501</a>";Terranova;"Polycomb group proteins Ezh2 and Rnf2 direct genomic contraction and imprinted repression in early mouse embryos.";2008
101;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19144718>19144718</a>";Redrup;"The long noncoding RNA Kcnq1ot1 organises a lineage-specific nuclear domain for epigenetic gene silencing.";2009
101;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17917697>17917697</a>";Murakami;"Suggestive evidence for chromosomal localization of non-coding RNA from imprinted LIT1.";2007
103;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19182780>19182780</a>";Guttman;"Chromatin signature reveals over a thousand highly conserved large non-coding RNAs in mammals.";2009
104;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/10759892>10759892</a>";Miyoshi;"Identification of an imprinted gene, Meg3/Gtl2 and its human homologue MEG3, first mapped on mouse distal chromosome 12 and human chromosome 14q.";2000
104;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16342203>16342203</a>";Manji;"Molecular characterization and expression of maternally expressed gene 3 (Meg3/Gtl2) RNA in the mouse inner ear.";2006
104;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/9626496>9626496</a>";Schuster-Gossler;"The mouse Gtl2 gene is differentially expressed during embryonic development, encodes multiple alternatively spliced transcripts, and may act as an RNA.";1998
104;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/14602737>14602737</a>";Zhang;"A pituitary-derived MEG3 isoform functions as a growth suppressor in tumor cells.";2003
104;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20392836>20392836</a>";Gordon;"Increased expression of angiogenic genes in the brains of mouse meg3-null embryos.";2010
132;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/7867928>7867928</a>";Tasheva;"Regulation of human RPS14 transcription by intronic antisense RNAs and ribosomal protein S14.";1995
104;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20179190>20179190</a>";Zhang;"Maternally expressed gene 3, an imprinted noncoding RNA gene, is associated with meningioma pathogenesis and progression.";2010
104;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17569660>17569660</a>";Zhou;"Activation of p53 by MEG3 non-coding RNA.";2007
104;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15226823>15226823</a>";Blackshaw;"Genomic analysis of mouse retinal development.";2004
106;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12084570>12084570</a>";Madamanchi;"A noncoding RNA regulates human protease-activated receptor-1 gene during embryogenesis.";2002
107;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18538132>18538132</a>";Tochitani;"Nkx2.2 antisense RNA overexpression enhanced oligodendrocytic differentiation.";2008
108;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16141075>16141075</a>";Willingham;"A strategy for probing the function of noncoding RNAs finds a repressor of NFAT.";2005
79;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17440112>17440112</a>";Pasmant;"Characterization of a germ-line deletion, including the entire INK4/ARF locus, in a melanoma-neural system tumor family: identification of ANRIL, an antisense noncoding RNA whose expression coclusters with ARF.";2007
79;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19214202>19214202</a>";Schaefer;"Identification of a shared genetic susceptibility locus for coronary heart disease and periodontitis.";2009
79;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19343170>19343170</a>";Liu;"INK4/ARF transcript expression is associated with chromosome 9p21 variants linked to atherosclerosis.";2009
79;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19592466>19592466</a>";Jarinova;"Functional analysis of the chromosome 9p21.3 coronary artery disease risk locus.";2009
79;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20056914>20056914</a>";Holdt;"ANRIL expression is associated with atherosclerosis risk at chromosome 9p21.";2010
79;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18185590>18185590</a>";Yu;"Epigenetic silencing of tumour suppressor gene p15 by its antisense RNA.";2008
91;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/8649973>8649973</a>";Hollander;"A novel DNA damage-inducible transcript, gadd7, inhibits cell growth, but lacks a protein product.";1996
133;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/7505061>7505061</a>";Kloc;"Translocation of repetitive RNA sequences with the germ plasm in Xenopus oocytes.";1993
133;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16000384>16000384</a>";Kloc;"Potential structural role of non-coding and coding RNAs in the organization of the cytoskeleton at the vegetal cortex of Xenopus oocytes.";2005
133;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12919101>12919101</a>";Allen;"Identification and characterization of the Xlsirt cis-acting RNA localization element.";2003
134;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/9012531>9012531</a>";Zhang;"Xenopus VegT RNA is localized to the vegetal cortex during oogenesis and encodes a novel T-box transcription factor involved in mesodermal patterning.";1996
134;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16000384>16000384</a>";Kloc;"Potential structural role of non-coding and coding RNAs in the organization of the cytoskeleton at the vegetal cortex of Xenopus oocytes.";2005
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/10199399>10199399</a>";Lanz;"A steroid receptor coactivator, SRA, functions as an RNA and is present in an SRC-1 complex.";1999
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/14517287>14517287</a>";Lanz;"Steroid receptor RNA activator stimulates proliferation as well as apoptosis in vivo.";2003
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15327771>15327771</a>";Zhao;"Regulation of nuclear receptor activity by a pseudouridine synthase through posttranscriptional modification of steroid receptor RNA activator.";2004
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17170069>17170069</a>";Zhao;"Pus3p- and Pus1p-dependent pseudouridylation of steroid receptor RNA activator controls a functional switch that regulates nuclear receptor signaling.";2007
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12565891>12565891</a>";Emberley;"Identification of new human coding steroid receptor RNA activator isoforms.";2003
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17710122>17710122</a>";Leygue;"Steroid receptor RNA activator (SRA1): unusual bifaceted gene products with suspected relevance to breast cancer.";2007
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/11103781>11103781</a>";Murphy;"Altered expression of estrogen receptor coregulators during human breast tumorigenesis.";2000
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12444263>12444263</a>";Lanz;"Distinct RNA motifs are important for coactivation of steroid hormone receptors by steroid receptor RNA activator (SRA).";2002
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20219889>20219889</a>";Foulds;"Research resource: expression profiling reveals unexpected targets and functions of the human steroid receptor RNA activator (SRA) gene.";2010
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20153324>20153324</a>";Chooniedass-Kothari;"The protein encoded by the functional steroid receptor RNA activator is a new modulator of ER alpha transcriptional activity.";2010
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15147866>15147866</a>";Chooniedass-Kothari;"The steroid receptor RNA activator is the first functional RNA encoding a protein.";2004
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16152589>16152589</a>";Chooniedass-Kothari;"The steroid receptor RNA activator protein is expressed in breast tumor tissues.";2006
117;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19064678>19064678</a>";Friedrichs;"HBEGF, SRA1, and IK: Three cosegregating genes as determinants of cardiomyopathy.";2009
91;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/8561505>8561505</a>";Crawford;"Hydrogen peroxide induces the expression of adapt15, a novel RNA associated with polysomes in hamster HA-1 cells.";1996
91;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/8638945>8638945</a>";Crawford;"Oxidant-inducible adapt 15 RNA is associated with growth arrest- and DNA damage-inducible gadd153 and gadd45.";1996
135;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17623812>17623812</a>";Wong;"Centromere RNA is a key component for the assembly of nucleoproteins at the nucleolus and centromere.";2007
110;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16569192>16569192</a>";Fu;"Regulation of apoptosis by a prostate-specific and prostate cancer-associated noncoding gene, PCGEM1.";2006
110;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19186008>19186008</a>";Ifere;"Differential effects of cholesterol and phytosterols on cell proliferation, apoptosis and expression of a prostate specific gene in prostate cancer cell lines.";2009
110;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/14724589>14724589</a>";Petrovics;"Elevated expression of PCGEM1, a prostate-specific gene with cell growth-promoting function, is associated with high-risk prostate cancer patients.";2004
120;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15797018>15797018</a>";Young;"The noncoding RNA taurine upregulated gene 1 is required for differentiation of the murine retina.";2005
120;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19182780>19182780</a>";Guttman;"Chromatin signature reveals over a thousand highly conserved large non-coding RNAs in mammals.";2009
120;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19571010>19571010</a>";Khalil;"Many human large intergenic noncoding RNAs associate with chromatin-modifying complexes and affect gene expression.";2009
111;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15855153>15855153</a>";Sonkoly;"Identification and characterization of a novel, psoriasis susceptibility-related noncoding RNA gene, PRINS.";2005
113;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18974356>18974356</a>";Zhao;"Polycomb proteins targeted by a short repeat RNA to the mouse X chromosome.";2008
97;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17604720>17604720</a>";Rinn;"Functional demarcation of active and silent chromatin domains in human HOX loci by noncoding RNAs.";2007
97;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20393566>20393566</a>";Gupta;"Long non-coding RNA HOTAIR reprograms chromatin state to promote cancer metastasis.";2010
97;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19571010>19571010</a>";Khalil;"Many human large intergenic noncoding RNAs associate with chromatin-modifying complexes and affect gene expression.";2009
114;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15829500>15829500</a>";Yan;"Identification and characterization of a novel gene Saf transcribed from the opposite strand of Fas.";2005
115;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15788562>15788562</a>";Valgardsdottir;"Structural and functional characterization of noncoding repetitive RNAs transcribed in stressed human cells.";2005
115;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18039709>18039709</a>";Valgardsdottir;"Transcription of Satellite III non-coding RNAs is a general stress response in human cells.";2008
116;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/14972680>14972680</a>";Mutsuddi;"The spinocerebellar ataxia 8 noncoding RNA causes neurodegeneration and associates with staufen in Drosophila.";2004
119;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/10192391>10192391</a>";Lee;"Tsix, a gene antisense to Xist at the X-inactivation centre.";1999
119;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/10520993>10520993</a>";Lee;"Targeted mutagenesis of Tsix leads to nonrandom X inactivation.";1999
119;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/11713286>11713286</a>";Luikenhuis;"Antisense transcription through the Xist locus mediates Tsix function in embryonic stem cells.";2001
119;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/11262229>11262229</a>";Sado;"Regulation of imprinted X-chromosome inactivation in mice by Tsix.";2001
119;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12900553>12900553</a>";Sado;"Effect of TSIX disruption on XIST expression in male ES cells.";2002
119;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15992549>15992549</a>";Sado;"Tsix silences Xist through modification of chromatin structure.";2005
119;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18974356>18974356</a>";Zhao;"Polycomb proteins targeted by a short repeat RNA to the mouse X chromosome.";2008
121;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16914571>16914571</a>";Wang;"Rapid identification of UCA1 as a very sensitive and specific unique marker for human bladder carcinoma.";2006
121;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18501714>18501714</a>";Wang;"UCA1, a non-protein-coding RNA up-regulated in bladder carcinoma and embryo, influencing cell growth and promoting invasion.";2008
