TranscriptID;section;description;order
78;Function;"Binds several proteins including the signal recognition particle SRP9/14 heterodimer (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/9605471"">Kremerskothen (1998)</a>), eukaryotic initiation factor 4A helicase (eIF4A) (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18316401"">Lin (2008)</a>) and Poly(A)-binding protein (PABP), binding to PABP requires the central A rich region (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/12162957"">Muddashetty (2002)</a>).
   
Inhibits translation in-vitro and in cultured cells similar to BC1.  BC200 binding to eIF4A inhibits it by uncoupling eIF4A ATPase activity from its helicase/ duplex unwinding activity (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18316401"">Lin (2008)</a>). Translational inhibition also involves BC200 binding to to PABP (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/16154588"">Kondrashov (2005)</a>). ";3
79;Name;"ANRIL: Antisense noncoding RNA in the INK4 locus;

CDKN2B-AS1: CDKN2B antisense RNA 1;

P15AS: P15 antisense RNA";0
79;Characteristics;"Present in multiple splicing isoforms (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/19888323"">Folkersen (2009)</a>) (such as the CDK2BAS RefSeq sequence NR_003529.3 of ~3.9kb). Also detected as an unspliced transcript of 34.8 kb (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18185590"">Yu (2008)</a>), specified as p15AS, but which seems to correspond to an isoform with the first intron of CDK2BAS retained. Antisense to the tumor suppressor gene p15/CDKN2A. (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18185590"">Yu (2008)</a>)

Traverses a noncoding region centromeric to CDKN2A, a region containing the INK4b/ARF/INK4a locus and implicated in a range of complex diseases including cancer (such as melanoma-neural system tumor syndrome), type 2 diabetes, periodontitis and coronary heart disease (see extensive reference list in Literature below, and <a href=""http://www.ncbi.nlm.nih.gov/pubmed/20716961"">Popov (2010)</a> for a review).

Transcript found to be quite unstable with a half-life >4 hr in human Hela cells (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/22369889"">Tani (2012)</a>).";1
79;Expression;"Expressed in tissues and cell types affected by atherosclerosis. Increased levels of ANRIL are found in patients carrying the atherosclerosis risk haplotype expression, including in peripheral blood mononuclear cells, whole blood and atherosclerotic plaque tissue, and the levels were directly correlated with the severity of atherosclerosis (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20056914"">Holdt (2010)</a>). 

Up-regulated in prostate cancer (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20541999"">Yap (2010)</a>).";2
79;Function;"In vitro over-expression of p15as/ANRIL RNA was originally demonstrated to induce epigenetic silencing of p15 gene expression (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18185590"">Yu (2008)</a>).

Recently, ANRIL RNA was found to interact and regulate chromobox 7 (CBX7), a component of the Polycomb Repressor Complex 1 (PRC1), which methylates histone H3 lysine 27 to promote epigenetic silencing, and is also up-regulated in prostate cancer. Interaction occurs with a conserved chromodomain of CBX7 and is essential for the ability of PRC1 to repress the INK4b/ARF/INK4a locus and control cell senescence. (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20541999"">Yap (2010)</a>)";3
81;Characteristics;"~2 kb; two splice variants were identified for human and mouse BACE1-AS. Transcribed  from an intron of the beta-secretase-1 (BACE1) gene in antisense direction it also completely overlapps exon 6 of BACE-1 (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18587408"">Faghihi (2008)</a>).";1
81;Expression;"BACE1 and BACE1AS are co-expressed in a wide range of tissues and cell lines in mice and humans. BACE1 mRNA expression levels are higher than BACE1-AS levels across all tissues examined, except in Alzheimer's disease (AD) where, in contrast, BACE1-AS is expressed at a higher level in brain. Bace1 and Bace1-AS transcripts are also observed in various regions of the mouse brain (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18587408"">Faghihi (2008)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/20507594"">Faghihi (2010)</a>).

Several cell stressors, such as high temperature, serum starvation, amyloid-beta 1-42, H2O2 and high glucose, specifically increase BACE1-AS RNA and BACE1 protein levels (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18587408"">Faghihi (2008)</a>).

Showed increased expression in sporadic inclusion-body myositis (s-IBM) muscle fibers (possibly caused by endoplasmic reticulum stress). Nevertheless, unlike in AD and AD-transgenic mouse brain samples in which BACE1-AS transcript was increased more than the sense BACE1 transcript , in s-IBM muscle biopsies the reversed was found (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20236612"">Nogalska (2010)</a>).

Mouse RNA stability was very close to median for lncRNAs, with a half-life 3.6 hr in N2A (neuroblastoma) cells (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/22406755"">Clark (2012)</a>). ";2
81;Function;"BACE1AS expression is elevated in Alzheimers disease (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18587408"">Faghihi (2008)</a>). It was shown to regulate BACE1 mRNA and protein expression in vitro and in vivo ie: over-expression, shRNA and siRNA knockdown of BACE1AS affected BACE1 expression, influencing amyloid-beta 1-42 levels (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18587408"">Faghihi (2008)</a>).

It was proposed that BACE1-AS and BACE1 form an RNA duplex and this increases the stability of BACE1 (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18587408"">Faghihi (2008)</a>). More recently, it was suggested that BACE1AS may prevent translational repression of BACE1 mRNA by miR-485-5p via masking the binding site for the microRNA. Supporting this hypothesis, BACE1AS over-expression prevented miRNA-induced suppression (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20507594"">Faghihi (2010)</a>). Expression of BACE1-AS as well as miR-485-5p are dysregulated in RNA samples from Alzheimer's disease subjects compared to control individuals (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20507594"">Faghihi (2010)</a>). 

BACE1-AS may also be involved in sporadic inclusion-body myositis (s-IBM), whose muscle-fiber phenotype shares molecular similarities with Alzheimer-disease brain (including increased BACE1 protein). BACE1-AS and BACE1 transcripts are significantly increased in s-IBM, and experimental induction of endoplasmic reticulum (ER) stress increased both BACE1-AS and BACE1 transcripts. These results suggest that ER stress and increased BACE1-AS expression may be involved in s-IBM (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20236612"">Nogalska (2010)</a>).";3
81;Conservation;"BACE1-AS transcript has been identified in mouse and humans, with a conserved association with BACE1 across species (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18587408"">Faghihi (2008)</a>).";4
81;Misc;"Mouse AK078885 and human CB960709 full-length clones are unspliced and are ~1.2kb- and 798b-long, but two spliced variants were extended by RACE by Faghini et al., 2008.";5
81;Name;"BACE1 antisense RNA";0
82;Characteristics;"152 nt; evolved from a tRNA Ala (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/2437583"">DeChiara (1987)</a>).";1
82;Expression;"Expressed by a specific subset of neurons in the central and peripheral nervous system; localises to dendrites (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/1706516"">Tiedge (1991)</a>), or both axons and dendrites (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/12040034"">Muslimov (2002)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17699670"">Centonze (2007)</a>) in different subsets of neurons and in a developmentally regulated manner. 

Decreased expression in brains of mice that suffer chronic epileptic seizures (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20974111"">Gitaí (2011)</a>).

Also expressed in germ cells (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/12040034"">Muslimov (2002)</a>).

Dendritic localisation mediated by an extended stem loop element (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/11350036"">Rozhdestvensky (2001)</a>) in 5' 62 nucleotides (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/9169532"">Muslimov (1997)</a>), containing two targeting codes a stem bulge motif that specifies nuclear export and a GA kink-turn (KT) motif that binds heterogeneous nuclear ribonucleoprotein A2 and mediates transport to the distal ends of dendrites (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17074884"">Muslimov (2006)</a>).";2
82;Function;"Summary: Functions to regulate localised translation at dendrites, controlling neuron excitability and place learning. Lack of BC1 causes a susceptibility to epileptic seizures. 


Binds eIF4A, eIF4B and PABP to repress translation initiation by blocking assembly of the 48S initiation complex (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/12451124"">Wang (2002)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12162957"">Muddashetty (2002)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16330711"">Wang (2005)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16154588"">Kondrashov (2005)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/18316401"">Lin (2008)</a>).

Translational repression is mediated by its 3' domain and A rich region (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/12162957"">Muddashetty (2002)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16330711"">Wang (2005)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16154588"">Kondrashov (2005)</a>).

Inhibits eukaryotic initiation factor 4A helicase by uncoupling ATPase activity from helicase/ duplex unwinding activity (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18316401"">Lin (2008)</a>).

By regulating localised translation BC1 can control neuron excitability; 
ie: by regulating dopamine receptor levels and dopamine signalling in the striatum (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17699670"">Centonze (2007)</a>) 
ie: inhibiting translation activation from metabotropic glutamate receptor (mGluR) signalling (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/19675232"">Zhong (2009)</a>). 


Knock-out of BC1 in mouse affected exploratory behaviour and anxiety, leading to higher mortality in field experiments  (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/12944471"">Skryabin (2003)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15302134"">Lewejohann (2004)</a>).

Brain phenotypes of BC1 knockout mice include neuronal hyperexcitability triggered by mGluR signaling or GABAa receptor stimulation which stimulates protein translation BC1 would act to repress (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/19675232"">Zhong (2009)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21124905"">Zhong (2010)</a>). Epileptogenic susceptibility (epileptic activity and convulsive seizures) upon auditory stimulation (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/19675232"">Zhong (2009)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21124905"">Zhong (2010)</a>) and defects in place learning (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/21124905"">Zhong (2010)</a>). 

The combination of BC1 and fragile X mental retardation protein (FMRP) knockouts causes neuronal excitability, epileptogenesis, and place learning deficits of increased severity than individual knockouts suggesting BC1 and FMRP act independently to repress translation (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/21124905"">Zhong (2010)</a>).";3
82;Conservation;"Evolved from a tRNA Ala (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/2437583"">DeChiara (1987)</a>).

Rodent specific (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/7692450"">Martignetti (1993)</a>).

BC1, BC200 and G22 likely form a family of independently exapted repetitive elements which have evolved to carry out similar functions in different mammalian species (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/12162957"">Muddashetty (2002)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17175535"">Khanam (2007)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/18316401"">Lin (2008)</a>). ";4
82;Name;"Brain Cytoplasmic RNA 1";0
83;Characteristics;"~2.8kb. Spliced and polyadenylated RNA with three exons.

BORG RNA contains a number of repeat sequences.";1
83;Expression;"Identified in a myoblast cell line (C2C12) trans-differentiating into osteoblastic cells. 

Immediate early response gene to bone morphogenic proteins (BMPs), expressed within 2 hrs, peaked between 12-24 hours before declining back to basal levels.

Expression induced by BMPs and osteogenic proteins in multiple cell types that respond to BMP signaling.";2
83;Function;"Knockdown of BORG via transfection of antisense oligonucleotides partially inhibits BMP-induced differentiation of C2C12 cells into osteoblastic cells. Proposed involvement in bone morphogenesis.";3
83;Conservation;"Likely to be rodent specific as much of locus (and transcript) consists of rodent specific repeats. Unknown if a transcript is expressed in rat.";4
83;Name;"BMP/OP-responsive gene (BORG) RNA";0
83;Misc;"BMP: bone morphogenic protein
OP: osteogenic protein";5
84;Characteristics;"Multiple ncRNAs transcribed from the promoter region of the cyclin D (CCND1) gene.

Transcripts of ~200nuc, ~330nuc and longer from both strands found within 2kb of the CCND1 transcription start site.";1
84;Expression;"Expression induced by DNA damage signals.

Transcripts highly enriched in chromatin.

Transcripts expressed from PROMPT (promoter upstream transcripts) regions, PROMPT transcripts are degraded by the exosome and generally highly unstable (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/19056938"">Preker (2008)</a>).";2
84;Function;"Regulates gene expression of cyclin D1. 

ncRNAs have free ssRNA region plus RNA:DNA duplex region to tether them to the CCND1 locus.

Interaction of ncRNA ssRNA region with RNA-binding protein TLS (translocated in liposarcoma) promotes allosteric modification of the protein, leading to inhibition of CREB-binding protein and histone acetyltransferase activities to repress cyclin D1.

Promoter associated RNAs that can regulate expression of their associated protein coding gene by acting as a guide for a generic protein transcriptional regulator. ";3
84;Misc;"Transcripts are not exactly defined so Browser link below is to the 2kb upstream of the CCND1 transcription start site.";4
86;Characteristics;"~280 nucleotides, dimeric Alu sequence (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/11399078"">Kuryshev (2001)</a>).

Same genetic locus has been targeted independently to create Alu derived BC200 and G22 genes in different primate lineages (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/11399078"">Kuryshev (2001)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/15922354"">Ludwig (2005)</a>). ";1
86;Conservation;"Found in strepsirhini primates (Lemurs and Lorises) (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/11399078"">Kuryshev (2001)</a>). However, G22 appears under selection only in lorisiformes (Galago moholi) (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/15922354"">Ludwig (2005)</a>).

BC200, BC1 and G22 likely form a family of independently exapted repetitive elements which have evolved to carry out similar functions in different mammalian species (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/12162957"">Muddashetty (2002)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17175535"">Khanam (2007)</a>).";4
86;Function;"Binds to poly(A) binding protein (PABP) and the SRP9/14 heterodimer (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17175535"">Khanam (2007)</a>).";3
86;Expression;"Transcribed in lorisiform brain (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/15922354"">Ludwig (2005)</a>).

Localised to dendrites in a transgenic mouse (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17175535"">Khanam (2007)</a>).  ";2
86;Misc;"Galago moholi G22 can be found in REGION: 8494..8776 of  AF314807.
L13, (version in lemurs) can be found in REGION: 6983..7295 of AF314807. 
";5
87;Characteristics;"Two isoforms:
~1.0kb unspliced EGO-A and ~1.5 kb spliced (two exons) EGO-B.

Transcribed antisense from a conserved intron of ITPR1 gene.";1
87;Expression;"Highly expressed in human bone marrow CD34+ cells and BMMC (bone marrow mononuclear cells).

Highly upregulated during eosinophil development from CD34+ human hematopoietic stem cells before returning to basal levels within 72 hours. Despite a return to basal levels, EGO transcripts were present and inducible in mature eosinophils.";2
87;Function;"Proposed to affect myeloid development by regulating eosinophil gene expression, as knockdown of EGO in vitro in CD34+ cells decreases eosinophil granule protein MBP (major basic protein) and EDN (eosinophil derived neurotoxin) mRNA levels.";3
87;Conservation;"EGO and some of surrounding sequence is conserved. However the presence of EGO has not been investigated outside of humans. ";4
87;Name;"Eosinophil granule ontogeny (EGO) RNA";0
88;"Characteristics ";"Intergenic, ~9-10kb alternatively spliced transcript in mammals (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17066261"">Ishii (2006)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17623775"">Sone (2007)</a>).

Contains tandem UACUAAC repeats, which match the conserved intron branch point sequence in Saccharomyces cerevisiae (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/21463453"">Tsuiji (2011)</a>).";1
88;Expression;"Expressed predominantly in the nervous system (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17066261"">Ishii (2006)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17623775"">Sone (2007)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/18184812"">Mercer (2008)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21463453"">Tsuiji (2011)</a>).

Shows dynamic regulation during retinal development (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/15226823"">Blackshaw (2004)</a>), differentiation of neural stem cells into oligodendrocytes (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20137068"">Mercer (2010)</a>) and in mouse embryonic stem cell (mESC) differentiation (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20026622"">Sheik Mohamed (2010)</a>)(<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18562676"">Dinger (2008)</a>). 

Expressed in the nucleus accumbens of normal human brains and one of a few genes up-regulated in this brain region in both cocaine and heroin abusers (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/16710320"">Albertson (2006)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21128942"">Michelhaugh (2010)</a>).

Nuclear specific localisation to novel nuclear matrix subdomain (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17623775"">Sone (2007)</a>).";2
88;Function;"Gomafu can bind the splicing factor 1 (SF1) protein through its UACUAAC repeat sequences. This sequence is a much stronger intron branch point sequence than found in most mammalian introns. In-vitro Gomafu binding to SF1 can inhibit splicing and spliceosomal complex formation suggesting Gomafu can function to regulate splicing efficiency (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/21463453"">Tsuiji (2011)</a>).

Regulates retinal cell fate specification (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20459797"">Rapicavoli (2010)</a>).

Variants confer susceptibility to myocardial infarction, possibly through altering the RNA's protein binding properties (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17066261"">Ishii (2006)</a>).

Probable target of transcription factor Oct4 in mESCs. Appears to maintain Oct4 expression in a feedback loop helping to maintain pluripotency (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20026622"">Sheik Mohamed (2010)</a>).  ";3
88;Conservation;"Well conserved in placental mammals, present in chicken and appears to be conserved back to amphibians (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20459797"">Rapicavoli (2010)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21463453"">Tsuiji (2011)</a>).  

Outside of mammals sequence conservation is low but the SF1 binding UACUAAC repeats are conserved (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20459797"">Rapicavoli (2010)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/21463453"">Tsuiji (2011)</a>).";4
88;Names;"MIAT: myocardial infarction associated transcript (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17066261"">Ishii (2006)</a>).
RNCR2: retinal noncoding RNA 2 (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/15226823"">Blackshaw (2004)</a>).";0
89;Characteristics;"DHFR upstream transcripts initiate from an upstream minor promoter of the DHFR (dihydrofolate reductase) gene and extend from approximately 400 nucleotide upstream of the 5'-untranslated region of DHFR (which corresponds to DHFR major/core promoter), to the second intron of the DHFR gene where they terminate (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/2859520"">Masters (1985)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17237763"">Martianov (2007)</a>). Therefore, the region located between minor and major transcript initiation sites (~400 bp) corresponds to a noncoding transcript and is a promoter of DHFR.

Discrete DHRF upstream initiating transcripts of diverse sizes have been reported, including five major discrete species with sizes of 4.3, 3.8, 3.1, 2.1, and 1.0 kb and four minor ones with sizes of 7.3, 5.0, 1.4, and 0.8kb. Primarily in the poly(A)+ fraction (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/2859520"">Masters (1985)</a>).

DHFR upstream transcripts adopt a series of structures in vitro that are dependent on the G-tract encompassed in its sequence (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/12461786"">Blume (2003)</a>).";1
89;Expression;"Enriched in the nucleus (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/2859520"">Masters (1985)</a>).

At least six minor 5' ends mapping upstream of the DHFR gene correspond to approximately 1% of the DHFR-specific polysomal polyA RNA. Most of these species have been found in 6A3 cells, VA2-B cells (the parental line of 6A3), and in HeLa cells (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/2859520"">Masters (1985)</a>).

DHFR upstream transcripts accumulate in a population of serum-starved, contact-inhibited (quiescent) U2OS cells, in which the levels of DHFR mRNA are markedly reduced (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17237763"">Martianov (2007)</a>).";2
